                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.53657,                 2.0571,                0.96093,                0.38942,                0.66427,                0.48021,                0.42729,                0.43631,                 1.4521,                0.89033,             0.00027436,             0.00027436,             0.00027436
                      2,                0.53002,                  1.402,                0.93072,                0.39017,                0.74126,                0.56088,                0.49512,                0.52902,                 1.4848,                0.97966,             0.00055021,             0.00055021,             0.00055021
                      3,                0.54041,                 1.2858,                 0.9432,                0.44582,                0.66571,                0.52908,                0.46246,                0.47741,                  1.231,                0.92565,             0.00082422,             0.00082422,             0.00082422
                      4,                0.52073,                  1.234,                0.92514,                0.45503,                0.70134,                0.59122,                0.52878,                0.44919,                 1.1089,                0.93177,             0.00082475,             0.00082475,             0.00082475
                      5,                0.51265,                 1.1691,                0.91995,                0.50957,                0.74171,                0.62164,                0.55663,                0.44472,                0.93898,                0.89053,               0.000822,               0.000822,               0.000822
                      6,                0.49285,                  1.087,                0.91949,                0.37531,                0.67365,                0.47556,                0.41288,                0.46231,                 1.5008,                0.92978,             0.00081926,             0.00081926,             0.00081926
                      7,                0.47783,                 1.0387,                0.91157,                0.49684,                0.78088,                0.60223,                0.52182,                0.44471,                 1.0092,                0.90434,             0.00081651,             0.00081651,             0.00081651
                      8,                0.47205,                0.98443,                0.91183,                0.57418,                0.71005,                0.67883,                0.61343,                0.46561,                0.89448,                0.88499,             0.00081376,             0.00081376,             0.00081376
                      9,                0.47768,                 1.0015,                0.92019,                0.57972,                0.69727,                0.67199,                0.61384,                 0.4051,                0.95166,                0.87988,             0.00081101,             0.00081101,             0.00081101
                     10,                 0.4641,                0.96139,                0.90696,                0.58361,                0.78493,                0.71831,                0.66206,                0.39357,                0.79836,                0.86519,             0.00080826,             0.00080826,             0.00080826
                     11,                0.45172,                0.91203,                0.90283,                0.53242,                0.80734,                0.67051,                0.61576,                0.39701,                0.87354,                0.85755,             0.00080551,             0.00080551,             0.00080551
                     12,                0.44668,                0.88885,                0.90197,                 0.6638,                0.70113,                0.73625,                0.68401,                0.37378,                0.76223,                0.85511,             0.00080276,             0.00080276,             0.00080276
                     13,                0.43632,                 0.9044,                0.89537,                 0.5275,                0.79412,                0.67088,                0.61862,                0.38303,                0.84553,                0.86089,             0.00080001,             0.00080001,             0.00080001
                     14,                 0.4434,                0.87322,                0.89538,                0.59284,                0.74791,                0.69998,                0.64162,                0.40839,                0.87787,                0.87463,             0.00079726,             0.00079726,             0.00079726
                     15,                0.41659,                0.80326,                0.88045,                0.68489,                0.74217,                 0.7393,                0.68127,                0.37776,                0.79773,                0.84823,             0.00079452,             0.00079452,             0.00079452
                     16,                0.41546,                0.75679,                0.88227,                 0.6602,                0.74834,                0.75436,                0.70359,                0.36563,                0.75215,                0.84838,             0.00079177,             0.00079177,             0.00079177
                     17,                0.41674,                0.76128,                0.88357,                 0.5983,                0.80065,                0.72476,                0.66929,                0.37805,                0.74238,                0.86577,             0.00078902,             0.00078902,             0.00078902
                     18,                0.41519,                0.71138,                0.88466,                 0.6589,                0.65134,                0.70289,                0.65195,                0.38375,                0.84967,                0.85465,             0.00078627,             0.00078627,             0.00078627
                     19,                0.41106,                0.70733,                0.88577,                0.66624,                0.74103,                0.74642,                0.68514,                0.39345,                0.79382,                0.86387,             0.00078352,             0.00078352,             0.00078352
                     20,                0.41434,                0.67565,                0.88636,                0.75008,                0.73619,                0.80594,                0.74786,                0.37095,                0.65588,                0.85397,             0.00078077,             0.00078077,             0.00078077
                     21,                0.39315,                0.63823,                0.87925,                0.72428,                0.71106,                0.77566,                0.71999,                0.36838,                0.76529,                0.85264,             0.00077802,             0.00077802,             0.00077802
                     22,                0.40158,                0.64706,                0.88451,                0.71457,                0.70089,                0.77298,                0.71808,                0.38357,                0.79331,                0.86255,             0.00077527,             0.00077527,             0.00077527
                     23,                0.40485,                0.62022,                0.88367,                0.69788,                0.78068,                0.78681,                0.73185,                0.35821,                0.70606,                0.84501,             0.00077252,             0.00077252,             0.00077252
                     24,                0.40211,                0.59579,                0.87731,                0.70344,                0.77702,                0.78273,                0.72591,                0.37171,                0.68161,                0.84673,             0.00076978,             0.00076978,             0.00076978
                     25,                0.39839,                0.56578,                0.87772,                0.77138,                0.73426,                0.79539,                0.73915,                0.37177,                0.67393,                0.84728,             0.00076703,             0.00076703,             0.00076703
                     26,                0.39447,                0.56014,                0.88088,                0.79333,                0.65207,                 0.7781,                0.72376,                0.36979,                 0.7585,                0.85666,             0.00076428,             0.00076428,             0.00076428
